,id_entrega,tiempo,sin_pesar,pesados,p_aciertos,velocidad,p_aceptacion,score_recolector,seniority_BEGINNER,seniority_INTERMEDIATE,seniority_REVIEW,distancia,lunes,martes,miercoles,jueves,viernes,sabado,hora
173,0,63.411996,5.0,1.0,0.9153,2.35,0.9524,4.8,0,1,0,1.1001481909035287,0,1,0,0,0,0,1
174,0,60.913475,2.0,0.0,0.8703,2.29,1.0,4.91,0,1,0,3.2200682237896765,0,1,0,0,0,0,1
175,0,68.765125,12.0,3.0,0.8857,2.31,1.0,4.8,0,1,0,1.4835167188843228,0,1,0,0,0,0,1
176,1,118.921655,18.0,21.0,0.927,1.2,0.92,4.64,0,0,0,1.9971374360726581,0,1,0,0,0,0,1
177,0,74.801843,9.0,0.0,0.8333,1.86,0.96,4.58,0,0,0,4.3715782977942474,0,1,0,0,0,0,1
178,0,81.581924,3.0,0.0,0.855,1.39,1.0,4.68,0,1,0,2.5609512810510062,0,1,0,0,0,0,1
179,0,64.584261,9.0,0.0,0.8028,1.87,0.96,4.84,0,0,0,0.8545009868589046,0,1,0,0,0,0,1
180,1,94.408015,7.0,1.0,0.8444,1.43,0.84,4.96,0,0,1,3.5908476512064,0,1,0,0,0,0,1
182,0,98.012137,7.0,2.0,0.8329,1.47,0.92,4.92,0,0,0,0.40861839111315845,0,1,0,0,0,0,1
184,0,92.800312,7.0,0.0,0.8586,1.55,0.92,4.96,0,0,0,3.174636966894562,0,1,0,0,0,0,1
185,1,79.450257,10.0,4.0,0.8462,2.57,0.9129999999999999,4.71,0,1,0,0.11914362690429245,0,1,0,0,0,0,0
186,1,102.519969,2.0,0.0,0.8496,2.41,0.88,4.76,0,1,0,1.4551711106803256,0,1,0,0,0,0,0
187,0,70.512732,14.0,4.0,0.8272,1.29,1.0,4.76,0,0,0,2.2864542841173785,0,1,0,0,0,0,1
188,0,81.664781,6.0,0.0,0.8442,1.23,1.0,4.84,0,0,0,3.799426065556068,0,1,0,0,0,0,1
190,0,51.426147,8.0,0.0,0.8808,2.33,1.0,4.96,0,1,0,0.10702725233099901,0,1,0,0,0,0,1
191,0,93.998519,9.0,2.0,0.8577,1.58,1.0,4.56,0,0,0,1.4054897863918732,0,1,0,0,0,0,1
192,1,77.920558,5.0,0.0,0.9172,2.9,1.0,4.78,0,1,0,6.95937395135763,0,1,0,0,0,0,1
193,1,74.220762,18.0,7.0,0.7438,1.95,1.0,4.52,0,0,0,2.836356244525349,0,1,0,0,0,0,1
194,1,66.801397,9.0,0.0,0.8874,1.57,1.0,4.8,0,0,0,1.2026080630879108,0,1,0,0,0,0,1
195,1,75.813025,6.0,0.0,0.8299,1.16,1.0,4.8,0,0,0,3.9885533920727956,0,1,0,0,0,0,1
196,1,77.981132,5.0,0.0,0.8822,1.3,1.0,4.52,0,0,0,0.8493750754877899,0,1,0,0,0,0,1
197,1,120.125957,11.0,3.0,0.8982,1.51,1.0,4.56,0,0,0,6.093546620174739,0,1,0,0,0,0,1
198,0,73.896154,12.0,0.0,0.8409,1.58,0.96,4.96,0,0,1,3.9080275911769538,0,1,0,0,0,0,1
199,0,62.472837,8.0,9.0,0.8762,1.45,1.0,5.0,0,0,0,0.0563570955805703,0,1,0,0,0,0,1
200,1,155.948604,29.0,11.0,0.8323,2.54,0.92,4.91,0,1,0,1.271855172634008,0,1,0,0,0,0,1
201,1,118.501902,19.0,10.0,0.8428,1.43,0.88,4.84,0,0,0,5.030027994776113,0,1,0,0,0,0,1
202,0,70.653342,8.0,2.0,0.8496,2.41,0.88,4.76,0,1,0,1.6228365625789969,0,1,0,0,0,0,1
203,0,73.411013,10.0,5.0,0.9137,1.75,0.8,4.52,0,0,1,0.46406644951697773,0,1,0,0,0,0,1
204,0,75.139586,5.0,19.0,0.8544,1.44,0.96,4.76,0,0,0,1.25797865585793,0,1,0,0,0,0,1
205,0,61.134974,4.0,4.0,0.8085,2.73,0.9,4.83,1,0,0,0.20976068507614362,0,1,0,0,0,0,1
206,1,120.136783,29.0,14.0,0.8594,2.11,1.0,4.76,0,1,0,0.16372605701261753,0,1,0,0,0,0,1
207,1,51.376767,13.0,0.0,0.8544,1.33,1.0,4.96,0,0,0,0.07198531224127298,0,1,0,0,0,0,1
208,0,70.206705,14.0,1.0,0.8706,1.58,1.0,4.76,0,0,0,2.235257425079405,0,1,0,0,0,0,1
209,1,106.051756,4.0,6.0,0.8445,2.56,0.84,4.47,0,0,1,3.6395908053160757,0,1,0,0,0,0,1
210,0,89.938963,1.0,0.0,0.8678,1.75,0.96,4.6,0,0,0,3.636430694799707,0,1,0,0,0,0,1
211,0,43.658509,1.0,0.0,0.8270000000000001,2.13,1.0,4.92,0,0,1,0.34554085334035095,0,1,0,0,0,0,1
212,1,78.095175,19.0,10.0,0.8638,1.88,1.0,4.52,0,0,0,1.5517492515654565,0,1,0,0,0,0,1
213,0,49.744863,2.0,1.0,0.8645,1.18,0.96,4.6,0,0,0,0.1379973394724847,0,1,0,0,0,0,1
214,0,109.625238,22.0,4.0,0.8728,1.89,1.0,4.92,0,0,0,0.5097418769312735,0,1,0,0,0,0,1
215,0,84.500357,10.0,0.0,0.8954,2.47,1.0,4.8,0,1,0,0.5238308854356002,0,1,0,0,0,0,1
216,0,112.395158,21.0,2.0,0.8377,2.11,0.96,4.52,0,1,0,1.5564142130050975,0,1,0,0,0,0,1
217,1,82.974668,7.0,3.0,0.8557,1.76,1.0,4.92,0,0,0,0.4930232873401269,0,1,0,0,0,0,1
218,0,148.084066,38.0,23.0,0.9013,1.43,1.0,4.88,0,0,0,0.15190764788504246,0,1,0,0,0,0,1
219,1,63.805189,2.0,0.0,0.8368,1.72,1.0,4.88,0,0,0,3.939844786390157,0,1,0,0,0,0,0
220,1,77.467837,9.0,10.0,0.8542,1.23,1.0,4.96,0,1,0,1.83330865816714,0,1,0,0,0,0,1
221,1,96.794474,32.0,2.0,0.8540000000000001,1.76,1.0,4.76,0,1,0,4.629116166879833,0,1,0,0,0,0,1
222,1,141.604632,17.0,3.0,0.7438,1.71,0.92,4.84,0,0,1,1.8641568790123813,0,1,0,0,0,0,1
223,0,88.889968,25.0,12.0,0.8547,1.71,0.96,4.8,0,0,0,1.0198853448260858,0,1,0,0,0,0,1
224,0,67.974786,4.0,0.0,0.8498,1.5,0.96,4.96,0,1,0,0.23992466770804313,0,1,0,0,0,0,1
225,1,118.821798,15.0,19.0,0.8625,1.89,1.0,4.92,0,0,0,0.9723573436760617,0,1,0,0,0,0,0
226,1,149.615893,23.0,20.0,0.8717,1.68,1.0,4.84,0,0,0,4.40942545417568,0,1,0,0,0,0,1
228,1,157.549966,49.0,17.0,0.875,1.61,1.0,4.88,0,0,0,0.8408630217399921,0,1,0,0,0,0,1
229,1,66.734113,6.0,2.0,0.8497,3.0,1.0,4.92,0,1,0,1.0680113048222384,0,1,0,0,0,0,1
230,1,113.482424,28.0,15.0,0.7806,2.0,1.0,4.88,0,0,0,1.3082974672505148,0,1,0,0,0,0,1
231,1,51.350792,12.0,2.0,0.9081,1.55,0.96,4.48,0,0,0,2.084832385463843,0,1,0,0,0,0,1
232,1,92.428725,15.0,0.0,0.9093,1.6,1.0,4.84,0,0,0,3.4679189747591534,0,1,0,0,0,0,1
233,1,55.594948,5.0,2.0,0.7672,2.03,0.88,4.83,0,1,0,2.0581244309800355,0,1,0,0,0,0,1
234,0,36.558454,1.0,0.0,0.8645,1.18,0.96,4.6,0,0,0,0.5722248383642063,0,1,0,0,0,0,1
236,1,117.536004,30.0,16.0,0.8993,1.19,1.0,4.6,0,0,0,0.6117945667733651,0,1,0,0,0,0,1
237,1,102.209552,30.0,2.0,0.8762,1.61,0.96,4.76,0,0,0,3.4620180532627796,0,1,0,0,0,0,1
238,1,61.373746,5.0,1.0,0.8135,2.14,0.76,4.92,0,0,1,1.0872336187274347,0,1,0,0,0,0,1
239,1,127.007066,33.0,6.0,0.91,1.47,0.96,4.84,0,0,0,0.6970661066943583,0,1,0,0,0,0,0
240,0,73.504398,3.0,0.0,0.8767,2.77,1.0,4.78,0,1,0,3.1225765664300735,0,1,0,0,0,0,1
241,1,131.514457,35.0,16.0,0.8827,1.47,1.0,4.68,0,0,0,1.4587213669416559,0,1,0,0,0,0,1
242,0,92.497671,15.0,21.0,0.9088,1.69,0.96,4.92,0,0,0,0.5457792046642851,0,1,0,0,0,0,1
